Function,Statistic,BS_C1,BR_C1,R_best,MPHB,HBA,MPA
F1,mean,3.615e-07,1.005e-09,4.916e-09,3.869e-04,3.548e-05,9.622e-05
,std,2.687e-07,4.202e-09,1.529e-08,3.925e-04,1.832e-04,1.756e-04
,rank,3.000,1.000,2.000,6.000,4.000,5.000
F2,mean,2.752e+01,3.612e+01,4.007e+01,3.043e+01,3.761e+01,3.329e+01
,std,2.399e+01,2.062e+01,1.830e+01,2.219e+01,2.497e+01,2.349e+01
,rank,1.000,4.000,6.000,2.000,5.000,3.000
F3,mean,1.803e-05,1.068e+00,1.002e+00,4.295e-02,1.385e+00,1.212e-02
,std,2.712e-05,9.016e-01,1.043e+00,8.786e-02,2.328e+00,1.813e-02
,rank,1.000,5.000,4.000,3.000,6.000,2.000
F4,mean,3.735e+01,4.319e+01,4.645e+01,3.598e+01,5.641e+01,3.842e+01
,std,1.087e+01,1.113e+01,1.293e+01,8.547e+00,1.312e+01,9.445e+00
,rank,2.000,4.000,5.000,1.000,6.000,3.000
F5,mean,3.031e+01,3.445e+02,3.181e+02,2.096e+01,2.291e+02,3.089e+01
,std,3.510e+01,1.925e+02,1.723e+02,2.341e+01,2.982e+02,4.742e+01
,rank,2.000,6.000,5.000,1.000,4.000,3.000
F6,mean,2.264e+01,5.705e+01,5.576e+01,1.635e+01,7.518e+03,1.588e+01
,std,1.691e+01,4.305e+01,3.510e+01,1.075e+01,7.839e+03,9.260e+00
,rank,3.000,5.000,4.000,2.000,6.000,1.000
F7,mean,2.945e+01,7.219e+01,6.164e+01,2.881e+01,5.364e+01,2.450e+01
,std,1.045e+01,4.265e+01,3.215e+01,5.945e+00,2.024e+01,4.449e+00
,rank,3.000,6.000,5.000,2.000,4.000,1.000
F8,mean,2.056e+01,3.485e+01,2.967e+01,2.114e+01,4.264e+01,2.049e+01
,std,2.297e+00,3.046e+01,2.191e+01,5.232e-01,4.112e+01,3.676e+00
,rank,2.000,5.000,4.000,3.000,6.000,1.000
F9,mean,1.808e+02,1.808e+02,1.808e+02,1.808e+02,1.808e+02,1.808e+02
,std,1.049e-08,9.542e-07,1.851e-07,3.823e-06,5.517e-02,1.928e-06
,rank,1.000,3.000,2.000,5.000,6.000,4.000
F10,mean,5.154e+01,1.613e+02,1.365e+02,1.005e+02,1.293e+03,1.088e+02
,std,5.894e+01,9.872e+01,8.971e+01,9.948e-02,1.411e+03,3.140e+01
,rank,1.000,5.000,4.000,2.000,6.000,3.000
F11,mean,3.000e+02,3.274e+02,3.267e+02,2.800e+02,3.513e+02,3.167e+02
,std,6.433e+01,4.471e+01,4.498e+01,1.186e+02,2.082e+02,1.487e+02
,rank,2.000,5.000,4.000,1.000,6.000,3.000
F12,mean,2.410e+02,2.554e+02,2.548e+02,2.391e+02,3.954e+02,2.401e+02
,std,7.529e+00,1.847e+01,1.614e+01,4.469e+00,1.158e+02,4.266e+00
,rank,3.000,5.000,4.000,1.000,6.000,2.000
AvgRank,rank,2.000,4.500,4.083,2.417,5.417,2.583
