Alias,Algorithm,Family,Role,Function,AnchorIndex,WTL
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,1,1,30/0/0
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,2,1,15/0/15
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,3,1,0/0/30
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,4,1,10/0/20
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,5,1,0/0/30
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,6,1,8/0/22
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,7,1,2/0/28
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,8,1,0/0/30
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,9,1,3/1/26
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,10,1,3/0/27
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,11,1,17/0/13
BR-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,MATCHED_RANDOM,12,1,3/0/27
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,1,1,30/0/0
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,2,1,17/0/13
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,3,1,0/0/30
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,4,1,6/0/24
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,5,1,0/0/30
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,6,1,6/0/24
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,7,1,3/0/27
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,8,1,0/0/30
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,9,1,6/1/23
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,10,1,5/0/25
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,11,1,19/0/11
R-best,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,BEST_RANDOM,12,1,3/0/27
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,1,1,0/0/30
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,2,1,11/0/19
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,3,1,0/0/30
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,4,1,17/0/13
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,5,1,20/0/10
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,6,1,20/0/10
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,7,1,13/0/17
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,8,1,13/0/17
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,9,1,4/0/26
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,10,1,3/0/27
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,11,1,14/0/16
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,12,1,17/0/13
HBA,HBA_BASE,HBA_BASE,PARENT,1,1,22/0/8
HBA,HBA_BASE,HBA_BASE,PARENT,2,1,13/0/17
HBA,HBA_BASE,HBA_BASE,PARENT,3,1,0/0/30
HBA,HBA_BASE,HBA_BASE,PARENT,4,1,2/0/28
HBA,HBA_BASE,HBA_BASE,PARENT,5,1,6/0/24
HBA,HBA_BASE,HBA_BASE,PARENT,6,1,0/0/30
HBA,HBA_BASE,HBA_BASE,PARENT,7,1,3/0/27
HBA,HBA_BASE,HBA_BASE,PARENT,8,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,9,1,5/0/25
HBA,HBA_BASE,HBA_BASE,PARENT,10,1,1/0/29
HBA,HBA_BASE,HBA_BASE,PARENT,11,1,26/0/4
HBA,HBA_BASE,HBA_BASE,PARENT,12,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,1,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,2,1,11/0/19
MPA,MPA_BASE,MPA_BASE,PARENT,3,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,4,1,12/0/18
MPA,MPA_BASE,MPA_BASE,PARENT,5,1,18/0/12
MPA,MPA_BASE,MPA_BASE,PARENT,6,1,19/0/11
MPA,MPA_BASE,MPA_BASE,PARENT,7,1,20/0/10
MPA,MPA_BASE,MPA_BASE,PARENT,8,1,13/0/17
MPA,MPA_BASE,MPA_BASE,PARENT,9,1,0/0/30
MPA,MPA_BASE,MPA_BASE,PARENT,10,1,3/0/27
MPA,MPA_BASE,MPA_BASE,PARENT,11,1,4/0/26
MPA,MPA_BASE,MPA_BASE,PARENT,12,1,15/0/15
