Function,Statistic,B_C1,MPHB,HBA,MPA,EODE,RLTLBO,QQLMPA,GWO,FDB_TLABC,FTO
F1,mean,3.615e-07,3.869e-04,3.548e-05,9.622e-05,3.888e-11,4.906e-01,8.403e+00,9.288e+03,8.281e-06,8.341e+03
,std,2.687e-07,3.925e-04,1.832e-04,1.756e-04,1.284e-10,1.251e+00,1.981e+01,3.660e+03,4.528e-05,3.383e+03
,rank,2.000,6.000,4.000,5.000,1.000,7.000,8.000,10.000,3.000,9.000
F2,mean,2.752e+01,3.043e+01,3.761e+01,3.329e+01,4.091e+01,6.688e+01,4.532e+01,8.851e+01,4.820e+01,1.160e+02
,std,2.399e+01,2.219e+01,2.497e+01,2.349e+01,1.824e+01,2.406e+01,1.917e+01,3.566e+01,1.542e+01,3.527e+01
,rank,1.000,2.000,4.000,3.000,5.000,8.000,6.000,9.000,7.000,10.000
F3,mean,1.803e-05,4.295e-02,1.385e+00,1.212e-02,7.473e-03,7.586e+00,7.082e-01,4.294e+00,9.529e-01,3.002e+01
,std,2.712e-05,8.786e-02,2.328e+00,1.813e-02,3.456e-02,6.128e+00,3.437e-01,3.072e+00,1.205e+00,7.580e+00
,rank,1.000,4.000,7.000,3.000,2.000,9.000,5.000,8.000,6.000,10.000
F4,mean,3.735e+01,3.598e+01,5.641e+01,3.842e+01,2.704e+01,7.643e+01,3.461e+01,4.748e+01,2.404e+01,5.633e+01
,std,1.087e+01,8.547e+00,1.312e+01,9.445e+00,1.099e+01,1.727e+01,8.962e+00,1.639e+01,6.178e+00,3.227e+01
,rank,5.000,4.000,9.000,6.000,2.000,10.000,3.000,7.000,1.000,8.000
F5,mean,3.031e+01,2.096e+01,2.291e+02,3.089e+01,2.767e-01,1.938e+02,2.514e+01,1.920e+02,2.943e+01,3.359e+02
,std,3.510e+01,2.341e+01,2.982e+02,4.742e+01,7.627e-01,2.095e+02,2.354e+01,1.978e+02,2.998e+01,2.108e+02
,rank,5.000,2.000,9.000,6.000,1.000,8.000,3.000,7.000,4.000,10.000
F6,mean,2.264e+01,1.635e+01,7.518e+03,1.588e+01,5.102e+03,2.351e+03,2.368e+01,9.266e+04,2.619e+03,4.073e+03
,std,1.691e+01,1.075e+01,7.839e+03,9.260e+00,6.754e+03,3.373e+03,1.061e+01,1.833e+05,2.273e+03,5.867e+03
,rank,3.000,2.000,9.000,1.000,8.000,5.000,4.000,10.000,6.000,7.000
F7,mean,2.945e+01,2.881e+01,5.364e+01,2.450e+01,3.646e+01,6.083e+01,3.500e+01,8.335e+01,2.546e+01,1.063e+02
,std,1.045e+01,5.945e+00,2.024e+01,4.449e+00,1.471e+01,1.796e+01,6.189e+00,4.696e+01,8.815e+00,4.327e+01
,rank,4.000,3.000,7.000,1.000,6.000,8.000,5.000,9.000,2.000,10.000
F8,mean,2.056e+01,2.114e+01,4.264e+01,2.049e+01,2.342e+01,3.879e+01,2.471e+01,5.595e+01,2.530e+01,3.142e+01
,std,2.297e+00,5.232e-01,4.112e+01,3.676e+00,2.976e+00,3.048e+01,1.376e+00,5.021e+01,3.645e+00,6.598e+00
,rank,2.000,3.000,9.000,1.000,4.000,8.000,5.000,10.000,6.000,7.000
F9,mean,1.808e+02,1.808e+02,1.808e+02,1.808e+02,1.808e+02,1.808e+02,1.808e+02,2.078e+02,1.808e+02,1.901e+02
,std,1.049e-08,3.823e-06,5.517e-02,1.928e-06,8.672e-14,5.251e-03,3.984e-05,1.513e+01,9.801e-13,1.011e+01
,rank,4.000,6.000,8.000,5.000,2.000,1.000,7.000,10.000,3.000,9.000
F10,mean,5.154e+01,1.005e+02,1.293e+03,1.088e+02,3.542e+02,2.092e+02,1.135e+02,8.048e+02,1.495e+02,8.104e+02
,std,5.894e+01,9.948e-02,1.411e+03,3.140e+01,4.181e+02,3.516e+02,3.922e+01,6.425e+02,6.557e+01,5.242e+02
,rank,1.000,2.000,10.000,3.000,7.000,6.000,4.000,8.000,5.000,9.000
F11,mean,3.000e+02,2.800e+02,3.513e+02,3.167e+02,3.267e+02,3.377e+02,3.626e+02,7.819e+02,3.208e+02,6.370e+02
,std,6.433e+01,1.186e+02,2.082e+02,1.487e+02,4.498e+01,1.125e+02,8.024e+01,2.522e+02,4.051e+01,1.756e+02
,rank,2.000,1.000,7.000,3.000,5.000,6.000,8.000,10.000,4.000,9.000
F12,mean,2.410e+02,2.391e+02,3.954e+02,2.401e+02,2.425e+02,2.696e+02,2.411e+02,2.688e+02,2.612e+02,2.687e+02
,std,7.529e+00,4.469e+00,1.158e+02,4.266e+00,5.227e+00,3.122e+01,4.396e+00,2.159e+01,1.550e+01,1.591e+01
,rank,3.000,1.000,10.000,2.000,5.000,9.000,4.000,8.000,6.000,7.000
AvgRank,rank,2.750,3.000,7.750,3.250,4.000,7.083,5.167,8.833,4.417,8.750
