Alias,Algorithm,Family,Role,GlobalMeanRaw,GlobalMeanError,GlobalStdError,GlobalMedianError,GlobalMeanTimeSec,GlobalMeanEstFEs,SuccessRatePct,ValidPct,CompletedPct,MeanRankRunFunc,FriedmanMeanRank,AvgRankByMean
B-C1,MPHBS_C1_K07N03_BEFORE_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,1661.76162839287,78.428295059536,101.850702985187,26.2313487802085,1.99139861064815,199930,0,100,100,3.26666666666667,3.26666666666667,2.75
EODE,EODE_BASE,EODE_BASE,EXTERNAL,2111.17412043582,527.840787102488,2371.19505800206,47.9684181354273,0.878602567824074,199980,13.8888888888889,100,100,3.30833333333333,3.30833333333333,4
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,1662.84416923553,79.5108359021936,100.774710012826,30.3245046445743,0.490559136458333,199950,0,100,100,3.86944444444444,3.86944444444444,3
MPA,MPA_BASE,MPA_BASE,PARENT,1667.48140748037,84.1480741470369,111.033540550258,28.4504104042713,0.55915831087963,199980,0,100,100,3.95555555555556,3.95555555555556,3.25
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,1890.42506200862,307.091728675289,957.108392450723,44.8954693174513,0.791161016898148,200000,7.77777777777778,100,100,4.32083333333333,4.32083333333333,4.41666666666667
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,1674.6235269757,91.2901936423632,112.223023567078,38.6062774481049,15.8843497305556,199920,0,100,100,5.475,5.475,5.16666666666667
HBA,HBA_BASE,HBA_BASE,PARENT,2429.95576552357,846.622432190233,3051.66449611827,75.2727408049336,0.607826647222222,199980,3.33333333333333,100,100,6.58194444444444,6.58194444444444,7.75
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,1899.4528559978,316.119522664462,1149.80757211208,88.3473431932997,0.356289880787037,199950,0,100,100,7.23333333333333,7.23333333333333,7.08333333333333
GWO,GWO_BASE,GWO_BASE,EXTERNAL,10290.2326876496,8706.89935431623,58007.8995068693,185.087775873812,0.579018008101852,199980,0,100,100,8.35555555555556,8.35555555555556,8.83333333333333
FTO,FTO_BASE,FTO_BASE,EXTERNAL,2833.03281634598,1249.69948301264,3078.59314811751,189.033052447046,0.596389117476852,199614,0,100,100,8.63333333333333,8.63333333333333,8.75
