Alias,Algorithm,Family,Role,WTL_Global,AnchorIndex
RB-C1,MPHBS_RANDOM_C1_K07N03_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,91/1/268,1
B-C2,MPHBS_SARSA_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,173/1/186,1
RB-C2,MPHBS_RANDOM_C2_K07N03_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,95/1/264,1
B-C3,MPHBS_SARSA_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,168/19/173,1
RB-C3,MPHBS_RANDOM_C3_K07N03_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,91/1/268,1
B-C4,MPHBS_SARSA_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,173/1/186,1
RB-C4,MPHBS_RANDOM_C4_K07N03_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,81/0/279,1
A-C1,MPHBS_SARSA_C1_K07N03_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,101/0/259,1
RA-C1,MPHBS_RANDOM_C1_K07N03_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,83/0/277,1
A-C2,MPHBS_SARSA_C2_K07N03_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,100/0/260,1
RA-C2,MPHBS_RANDOM_C2_K07N03_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,91/0/269,1
A-C3,MPHBS_SARSA_C3_K07N03_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,94/0/266,1
RA-C3,MPHBS_RANDOM_C3_K07N03_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,83/0/277,1
A-C4,MPHBS_SARSA_C4_K07N03_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,96/2/262,1
RA-C4,MPHBS_RANDOM_C4_K07N03_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,81/0/279,1
MPHB,MPHB_BASE,MPHB_BASE,BASELINE,132/0/228,1
