Alias,Algorithm,Family,Role,GlobalMeanFit,GlobalStdFit,GlobalMedianFit,GlobalMeanTimeSec,GlobalMeanFEs,ValidPct,CompletedPct,MeanRankRunCase,FriedmanMeanRank,AvgRankAll
A-C1,FIR_PROPOSED_MPHBS_C1_K03_Ni09_AFTER_W050_G300_R250,PROPOSED_MPHBS,PROPOSED,0.00843940583009891,0.00787880982527047,0.00483519758108138,3.03069676145833,149857,100,100,1.425,1.425,1
EODE,EODE_BASE,EODE_BASE,EXTERNAL,0.0142815663613222,0.0114840269567738,0.00880698411762992,2.02745235972222,150000,100,100,2.98333333333333,2.98333333333333,2.625
MPA,MPA_BASE,MPA_BASE,PARENT,0.0140257208638576,0.0106274827602998,0.00949653505784473,1.77637458541667,150000,100,100,3.59166666666667,3.59166666666667,3.125
HBA,HBA_BASE,HBA_BASE,PARENT,0.0219004884215503,0.0248438369463188,0.0128139363672991,1.91138711892361,150000,100,100,4.15,4.15,4.5
MPHB,MPHB_BASE,MPHB,BASELINE,0.0165257050305938,0.012634836623375,0.0118294140638869,1.71466638524306,150000,100,100,4.21666666666667,4.21666666666667,3.875
FDB-TLABC,FDB_TLABC_BASE,FDB_TLABC_BASE,EXTERNAL,0.0478606539519968,0.0570804219130671,0.0314496837921844,1.79767932847222,150000,100,100,6.0875,6.0875,6.375
QQLMPA,QQLMPA_BASE,QQLMPA_BASE,EXTERNAL,0.0507323414384236,0.0420426665404395,0.0385455928361579,14.5840139300347,150000,100,100,6.35833333333333,6.35833333333333,6.75
GWO,GWO_BASE,GWO_BASE,EXTERNAL,0.162269770246759,0.121957540011571,0.119763835107131,1.75536871006944,150000,100,100,8.50416666666667,8.50416666666667,8.625
RLTLBO,RLTLBO_BASE,RLTLBO_BASE,EXTERNAL,0.151236089334682,0.103396419116402,0.121576325424697,1.52025290416667,150000,100,100,8.62916666666667,8.62916666666667,8.625
FTO,FTO_BASE,FTO_BASE,EXTERNAL,0.194184654196978,0.103961786250748,0.193143966236769,1.69305980763889,149718,100,100,9.05416666666667,9.05416666666667,9.5
