Alias,PairID,CFG_ID,Algorithm,Family,Role,Label,K,Ni,gamma,w_best,rho_sub,fad_before_p2,fad_after_p2,T,EstimatedFEs
B-C1,PAIR_C1_BEFORE,C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_SARSA,SARSA,C1_BEFORE,3,9,0.3,0.05,0.25,1,0,919,149857
RB-C1,PAIR_C1_BEFORE,C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,MPHBS_RANDOM,RANDOM,C1_BEFORE,3,9,0.3,0.05,0.25,1,0,776,149828
B-C2,PAIR_C2_BEFORE,C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_SARSA,SARSA,C2_BEFORE,3,9,0.3,0.025,0.25,1,0,919,149857
RB-C2,PAIR_C2_BEFORE,C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,MPHBS_RANDOM,RANDOM,C2_BEFORE,3,9,0.3,0.025,0.25,1,0,776,149828
B-C3,PAIR_C3_BEFORE,C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_SARSA,SARSA,C3_BEFORE,3,9,0.2,0.05,0.25,1,0,919,149857
RB-C3,PAIR_C3_BEFORE,C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,MPHBS_RANDOM,RANDOM,C3_BEFORE,3,9,0.2,0.05,0.25,1,0,776,149828
B-C4,PAIR_C4_BEFORE,C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_SARSA,SARSA,C4_BEFORE,3,9,0.3,0.05,0.3,1,0,871,149872
RB-C4,PAIR_C4_BEFORE,C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,MPHBS_RANDOM,RANDOM,C4_BEFORE,3,9,0.3,0.05,0.3,1,0,742,149944
A-C1,PAIR_C1_AFTER,C1,MPHBS_SARSA_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_SARSA,SARSA,C1_AFTER,3,9,0.3,0.05,0.25,0,1,919,149857
RA-C1,PAIR_C1_AFTER,C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,MPHBS_RANDOM,RANDOM,C1_AFTER,3,9,0.3,0.05,0.25,0,1,776,149828
A-C2,PAIR_C2_AFTER,C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_SARSA,SARSA,C2_AFTER,3,9,0.3,0.025,0.25,0,1,919,149857
RA-C2,PAIR_C2_AFTER,C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,MPHBS_RANDOM,RANDOM,C2_AFTER,3,9,0.3,0.025,0.25,0,1,776,149828
A-C3,PAIR_C3_AFTER,C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,C3_AFTER,3,9,0.2,0.05,0.25,0,1,919,149857
RA-C3,PAIR_C3_AFTER,C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,C3_AFTER,3,9,0.2,0.05,0.25,0,1,776,149828
A-C4,PAIR_C4_AFTER,C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,C4_AFTER,3,9,0.3,0.05,0.3,0,1,871,149872
RA-C4,PAIR_C4_AFTER,C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_RANDOM,RANDOM,C4_AFTER,3,9,0.3,0.05,0.3,0,1,742,149944
MPHB,BASE,BASE,MPHB_BASE,MPHB,BASELINE,baseline,NaN,NaN,NaN,NaN,NaN,0,0,1666,150000
