Alias,Method,Definition
B-C1,MPHBS_SARSA_C1_K03_Ni09_BEFORE_W050_G300_R250,"SARSA | K=3, Ni=9, BEFORE | w_best=0.050, gamma=0.30, rho=0.25"
RB-C1,MPHBS_RANDOM_C1_K03_Ni09_BEFORE_W050_G300_R250,"RANDOM | K=3, Ni=9, BEFORE | w_best=0.050, gamma=0.30, rho=0.25"
B-C2,MPHBS_SARSA_C2_K03_Ni09_BEFORE_W025_G300_R250,"SARSA | K=3, Ni=9, BEFORE | w_best=0.025, gamma=0.30, rho=0.25"
RB-C2,MPHBS_RANDOM_C2_K03_Ni09_BEFORE_W025_G300_R250,"RANDOM | K=3, Ni=9, BEFORE | w_best=0.025, gamma=0.30, rho=0.25"
B-C3,MPHBS_SARSA_C3_K03_Ni09_BEFORE_W050_G200_R250,"SARSA | K=3, Ni=9, BEFORE | w_best=0.050, gamma=0.20, rho=0.25"
RB-C3,MPHBS_RANDOM_C3_K03_Ni09_BEFORE_W050_G200_R250,"RANDOM | K=3, Ni=9, BEFORE | w_best=0.050, gamma=0.20, rho=0.25"
B-C4,MPHBS_SARSA_C4_K03_Ni09_BEFORE_W050_G300_R300,"SARSA | K=3, Ni=9, BEFORE | w_best=0.050, gamma=0.30, rho=0.30"
RB-C4,MPHBS_RANDOM_C4_K03_Ni09_BEFORE_W050_G300_R300,"RANDOM | K=3, Ni=9, BEFORE | w_best=0.050, gamma=0.30, rho=0.30"
A-C1,MPHBS_SARSA_C1_K03_Ni09_AFTER_W050_G300_R250,"SARSA | K=3, Ni=9, AFTER | w_best=0.050, gamma=0.30, rho=0.25"
RA-C1,MPHBS_RANDOM_C1_K03_Ni09_AFTER_W050_G300_R250,"RANDOM | K=3, Ni=9, AFTER | w_best=0.050, gamma=0.30, rho=0.25"
A-C2,MPHBS_SARSA_C2_K03_Ni09_AFTER_W025_G300_R250,"SARSA | K=3, Ni=9, AFTER | w_best=0.025, gamma=0.30, rho=0.25"
RA-C2,MPHBS_RANDOM_C2_K03_Ni09_AFTER_W025_G300_R250,"RANDOM | K=3, Ni=9, AFTER | w_best=0.025, gamma=0.30, rho=0.25"
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,"SARSA | K=3, Ni=9, AFTER | w_best=0.050, gamma=0.20, rho=0.25"
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,"RANDOM | K=3, Ni=9, AFTER | w_best=0.050, gamma=0.20, rho=0.25"
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,"SARSA | K=3, Ni=9, AFTER | w_best=0.050, gamma=0.30, rho=0.30"
RA-C4,MPHBS_RANDOM_C4_K03_Ni09_AFTER_W050_G300_R300,"RANDOM | K=3, Ni=9, AFTER | w_best=0.050, gamma=0.30, rho=0.30"
MPHB,MPHB_BASE,"MPHB baseline"
